181,SDAcode,number,0,0,SDA code
182,ContractIDNo,number,0,0,contract id no
183,DS1No,number,0,0,ds1 no
184,PRINo,char,0,0,PRI No
185,City,char,0,0,City
186,SalesRegion,char,0,0,Sales Region
187,Name,char,0,0,Name
188,Title,char,0,0,Title
189,PricingTerm,char,0,0,Pricing Schedule Term
190,SalesStrata,char,0,0,Sales Strata
191,SalesBranchManager,char,0,0,Sales Branch Manager
192,EmailAddress,char,0,0,Email Address
193,TeleFax,number,0,0,Telephone and Fax
194,StreetAddress,char,0,0,Street Address
195,MinPayPeriod,char,0,0,Minimum Payment Period
196,ProgramCode,number,0,0,Program Code
197,SCVPName,char,0,0,SCVP Name
198,RatesForMinPayment,char,0,0,Rates following the end of minimum payment
199,Branch Transit Number,number,0,1,
200,RateStabilization,char,0,0,Rate Stabilization per service component
201,EfffectiveDate,char,0,0,Effective Date of this pricing schedule
46,MileageIn,number,0,0,Mileage In
102,Attention,char,0,0,Attention
103,DOB,number,0,0,Date of Birth
104,StartDate,number,0,0,Start Date
105,Title,char,0,0,Title
106,PlaceOfBirth,char,0,0,Place of Birth
107,Status,char,0,0,Status
108,Employee,char,0,0,Employee
109,FullName,char,0,0,Full Name
110,Subject,char,0,0,Subject
111,AnnualSalary,number,0,0,Annual Salary
112,Citizenship,char,0,0,Citizenship
113,ExpireDate,number,0,0,Expire Date
114,PassportNo,number,0,0,Passport no
115,Gender,char,0,0,Gender
116,IssueDate,number,0,0,Issue Date
117,Smoking Status,char,0,0,
118,ServiceDept,char,0,0,Service Department
119,PCP,char,0,0,PCP
120,ProgressNotes,char,0,0,Progress Notes
121,AppointmentFacility,char,0,0,Appointment Facility
122,Referring,char,0,0,Referring
123,MedPrimary,char,0,0,med primary
124,Prescription,char,0,0,prescription
125,PrimaryCareProvider,char,0,0,primary care provider
126,Telephone,number,0,0,Telephone
127,FaxNo,number,0,0,Fax Number
128,NPI,number,0,0,NPI
129,FollowUp,char,0,0,Follow Up
130,Name,char,0,0,Name
131,Diabetes,char,0,0,
132,AppointmentDateTime,number,0,0,Appt. Date/Time
133,DOB,number,0,0,Date of Birth
134,Marital status,char,0,0,
135,Alcohol intake,char,0,0,
136,Hypertension,char,0,0,
137,Occupation,char,0,0,
138,Kidney Stones,char,0,0,
139,Celebrex,char,0,0,
140,Employer,char,0,0,
141,Vitals,char,0,0,
142,ROS,char,0,0,
143,Quantity,number,0,0,
144,Refills,number,0,0,
145,BodyMassIndex,number,0,0,Body Mass Index (BMI)
146,Weight,number,0,0,
147,EncounterDate,number,0,0,Encounter Date
148,Provider,char,0,0,Provider
149,Insurance,char,0,0,Insurance
150,Client,char,0,0,Client
151,InvestigatingAgency,char,0,0,Investigating Agency
152,County,char,0,0,County
153,Parties,char,0,0,Parties
154,TransactionNo,number,0,0,Transaction Number
155,Date,number,0,0,Date
156,TimeofLoss,number,0,0,Time of Loss
157,ClaimNo,number,0,0,Claim Number
158,State,char,0,0,State
159,DateOfLoss,number,0,0,Date Of Loss
160,DriverLicense,number,0,0,Driver License No
161,Street,char,0,0,Street
162,Division,char,0,0,Division
163,Adjuster,char,0,0,Adjuster
164,ReportNumber,number,0,0,Report Number
165,ReportType,char,0,0,Report Type
166,Tag,char,0,0,Tag
167,City,char,0,0,City
1,InvestmentName,char,1,0,
2,InvestorName,char,1,0,
3,CapBalance,number,1,0,
4,FundAsOfDate,number,1,0,
5,IssuedDate,number,0,0,Issued Date
6,IssuedAt,char,0,0,Issued At
7,Master,char,0,0,Master/Captain
8,Shipper,char,0,0,Shipper
9,BLNo,char,0,0,Bill of Lading number
10,Flag,char,0,0,Flag
11,Consignee,char,0,0,Consignee
12,VoyageNo,number,0,0,Voyage No
13,NotifyParty,char,0,0,Notify Party
14,OnboardTanker,char,0,0,OnboardTanker
15,LoadingPort,char,0,0,Loading Port
16,DeliveryPort,char,0,0,Delivery Port
17,Adjuster,char,0,0,Adjuster
18,WrittenBy,char,0,0,Written By
19,ClaimNo,number,0,0,Claim No
20,GrandTotal,number,0,0,Grand Total
21,VehicleOut,char,0,0,Vehicle Out
22,TypeOfLoss,char,0,0,Type of Loss
23,Insured,char,0,0,Insured
24,PolicyNo,number,0,0,Policy no
25,Fax,number,0,0,Fax
26,WorkfileID,number,0,0,Workfile ID
27,Telephone,number,0,0,Telephone
28,DaysToRepair,number,0,0,Days to Repair
29,CUSTOMERPAY,number,0,0,CUSTOMER PAY
30,Subtotal,number,0,0,Subtotal
31,INSURANCEPAY,number,0,0,INSURANCE PAY
32,Condition,char,0,0,Condition
33,JobNo,number,0,0,Jon no
34,ProductionDate,number,0,0,Production Date
35,State,char,0,0,State
36,FederalID,number,0,0,Federal ID
37,MileageOut,char,0,0,Mileage Out
38,RONumber,number,0,0,RO Number
39,Deductible,number,0,0,Deductible
40,License,char,0,0,License
41,VIN,number,0,0,VIN
42,PointOfImpact,char,0,0,Point of Impact
43,DateOfLoss,number,0,0,Date of Loss
44,InspectionLocation,char,0,0,Inspection Location
45,Owner,char,0,0,Owner
